# room wall artwork orientation
2 2 26 180
4 6 49 180
6 3 47 270
2 1 22 180
3 1 10 0
3 8 19 0
6 6 1 180
4 2 10 270
5 3 28 270
3 8 37 270
6 8 22 90
4 7 1 0
4 6 28 0
5 5 34 0
5 4 24 270
6 1 49 270
4 2 13 90
6 4 39 270
4 6 32 270
4 8 41 90
6 3 16 0
4 6 20 90
3 8 38 0
3 4 1 180
1 2 42 90
6 7 32 270
4 8 47 90
3 7 19 180
3 3 27 90
6 1 12 0
5 5 49 90
4 8 15 180
1 8 47 90
1 6 46 180
2 1 35 0
3 5 39 180
6 4 48 270
2 1 38 0
5 7 44 270
1 7 40 270
3 4 27 90
1 3 27 90
4 4 20 90
3 2 3 0
3 5 21 90
4 5 5 180
1 6 23 90
3 1 28 270
6 2 9 0
3 6 5 180
2 2 11 270
4 1 6 180
1 8 38 180
5 8 26 180
4 6 23 180
4 7 14 0
3 4 42 270
2 5 8 90
1 8 42 90
2 4 31 90
5 5 22 180
4 8 47 90
6 8 41 270
1 7 34 90
6 5 34 270
5 1 13 270
6 8 48 180
4 5 19 0
6 4 32 180
1 2 8 0
6 8 49 270
4 2 40 180
2 2 29 0
6 5 29 0
5 1 15 90
4 3 6 0
5 2 48 90
5 1 5 180
2 7 15 0
1 3 12 180
4 6 30 0
5 5 24 0
1 1 10 270
2 8 11 0
6 6 40 0
1 3 42 270
2 2 22 270
1 8 9 270
1 5 7 0
3 4 33 90
2 5 14 180
6 4 45 0
4 2 48 180
3 5 49 90
4 5 39 0
6 5 5 90
5 1 19 180
4 2 21 180
1 7 36 0
6 8 42 0
6 7 49 90
2 2 26 0
3 2 21 270
4 4 50 270
1 3 28 180
5 6 3 0
6 5 44 0
6 3 41 180
2 2 21 90
6 2 20 180
4 8 39 270
1 5 47 270
5 5 13 0
2 1 42 270
1 3 42 180
2 7 1 270
6 2 29 0
6 2 37 0
6 2 46 180
2 8 44 0
2 3 43 180
4 7 45 0
5 6 27 90
3 2 11 270
2 8 35 0
3 1 14 270
6 2 10 90
2 7 40 90
5 8 26 90
3 7 4 270
5 7 1 0
5 8 46 180
4 8 32 0
4 2 26 180
2 6 10 0
3 6 23 90
3 1 38 90
